Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-08-14T10:34:36.978,4,0.0013831500103628073,0.24154501536773734,FoVF,0.2962593774716402,0.7257399122454257,2457979.945516351
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-08-25T22:41:21.953,1,0.005543152779512399,0.9979016010173735,FoVF,-0.4545280792256715,0.7234581590681369,2457991.4496395006
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-08-26T02:55:01.925,5,-0.0026816773145124755,1.0073410915848464,FoVP,-0.4638451908198634,0.7187779819948014,2457991.6257869257
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-11-05T07:37:43.168,1,0.004260383669027914,0.31306499813733013,FoVP,-0.6356193633162454,0.7078169853584017,2458062.8169805575
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-11-05T09:24:17.403,5,3.639259807540279E-5,0.3095966068703492,FoVF,-0.6335844960997854,0.7091937329866637,2458062.890982698
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-11-28T03:27:11.978,7,-0.00432220160910582,-1.2651701695870037,FoVF,0.41057678653430757,0.7115432084444177,2458085.6415931173
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-11-28T07:40:51.974,2,0.0030605496244366583,-1.2760390279596796,FoVP,0.4156384756862092,0.707268147898628,2458085.8177413456
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2017-11-28T09:27:26.257,1,0.0061788655544098075,-1.280594280004011,FoVF,0.41774971901581226,0.7054669141418323,2458085.8917454104
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T03:25:53.663,1,0.006581392495250783,-2.234373280747114,FoVF,-0.031671245738331105,0.6989719989618176,2458149.639903115
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T07:39:33.937,1,0.004788931275141089,-2.2474267276097484,FoVP,-0.025389860098292222,0.7001793501896789,2458149.8160690647
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T09:26:08.230,2,0.004057325513148752,-2.252913379982755,FoVF,-0.02274112631954539,0.7006712375543827,2458149.8900793493
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T13:39:48.394,2,0.0023674247142554533,-2.265979347519712,FoVP,-0.016413283361727773,0.7018051566064166,2458150.0662440713
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T15:26:22.642,4,0.0016792726661897523,-2.271471152812022,FoVF,-0.013745211286785828,0.7022659054825248,2458150.1402538554
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T19:40:02.701,3,9.368275012175859E-5,-2.284549116294881,FoVP,-0.0073717921306851245,0.7033250243691621,2458150.316417424
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-01-31T21:26:36.907,5,-5.502749382053497E-4,-2.2900458435229982,FoVF,-0.00468477240573311,0.703754063450008,2458150.390426739
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-01T01:40:16.868,5,-0.0020297788373657756,-2.303135227758146,FoVP,0.0017332443367842698,0.7047370313737873,2458150.5665892297
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-01T03:26:51.033,6,-0.002628791380871378,-2.308636624509055,FoVF,0.00443878009442211,0.7051337972858837,2458150.640598108
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-01T07:40:30.904,6,-0.004000410545314841,-2.3217368027639487,FoVP,0.010900318346576997,0.7060392840563949,2458150.816759598
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-01T09:27:05.032,7,-0.004553717485671531,-2.327242594753332,FoVF,0.013623897626477631,0.7064032228185821,2458150.8907680726
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2018-02-01T13:40:44.818,7,-0.00581563074508108,-2.340352887729014,FoVP,0.020127784196505766,0.7072299223753954,2458151.06692864
